"nuts_id","area"
"AT","83927901406"
"BE","30664325927"
"BG","110980316708"
"CH","41285051586"
"CY","9244002308"
"CZ","78878395875"
"DE","357766440214"
"DK","43106053685"
"EE","45365033755"
"EL","131829695353"
"ES","506021156595"
"FI","337961339459"
"HR","56625388883"
"HU","93018726879"
"IE","70051937043"
"IS","102658442609"
"IT","300680713625"
"LI","159938163"
"LT","64901149745"
"LU","2594343640"
"LV","64598153053"
"ME","13881847621"
"MK","25436360438"
"MT","315976825"
"NL","37356623074"
"NO","323936783392"
"PL","311916588653"
"PT","91996547156"
"RO","238391563705"
"SE","449905297883"
"SI","20273718529"
"SK","49032358712"
"TR","780178939423"
"UK","244812632808"
"AT1","23575308915"
"AT2","25952353231"
"AT3","34400239261"
"BE1","163121316"
"BE2","13596466933"
"BE3","16904737678"
"BG3","68324110119"
"BG4","42656206589"
"CH0","41285051586"
"CY0","9244002308"
"CZ0","78878395875"
"DE1","36020391448"
"DE2","70597315436"
"DE3","889816421"
"DE4","29657664066"
"DE5","402332224"
"DE6","750140191"
"DE7","21114791566"
"DE8","23055867153"
"DE9","47772016920"
"DEA","34123565900"
"DEB","19853572781"
"DEC","2574629720"
"DED","18450458430"
"DEE","20538104237"
"DEF","15762004027"
"DEG","16203769695"
"DK0","43106053685"
"EE0","45365033755"
"EL1","56547191452"
"EL2","53903700736"
"EL3","3822393158"
"EL4","17556410006"
"ES1","45513191275"
"ES2","70395293733"
"ES3","8029404669"
"ES4","215313908613"
"ES5","60368858653"
"ES6","98953085602"
"ES7","7447414050"
"FI1","336472161569"
"FI2","1489177890"
"FR1","12072658494"
"FR2","146614977265"
"FR3","12445799418"
"FR4","48309409639"
"FR5","85855299420"
"FR6","104461536194"
"FR7","71139302370"
"FR8","68268261852"
"HR0","56625388883"
"HU1","6917620195"
"HU2","36618043625"
"HU3","49483063059"
"IE0","70051937043"
"IS0","102658442609"
"ITC","57959057244"
"ITF","73283999423"
"ITG","49848345382"
"ITH","61550053467"
"ITI","58039258109"
"LI0","159938163"
"LT0","64901149745"
"LU0","2594343640"
"LV0","64598153053"
"ME0","13881847621"
"MK0","25436360438"
"MT0","315976825"
"NL1","8621266574"
"NL2","10119730404"
"NL3","9481015958"
"NL4","7291963710"
"NO0","323936783392"
"PL1","53777239441"
"PL2","27512639073"
"PL3","74861444343"
"PL4","66261672952"
"PL5","29352455621"
"PL6","60151137222"
"PT1","88863401603"
"PT2","2329065276"
"PT3","804080277"
"RO1","68271076566"
"RO2","72599074598"
"RO3","36280095296"
"RO4","61241317245"
"SE1","50487109874"
"SE2","85022510974"
"SE3","314395677035"
"SI0","20273718529"
"SK0","49032358712"
"TR1","5310237014"
"TR2","42980019753"
"TR3","89219798729"
"TR4","49318543599"
"TR5","73037934807"
"TR6","88467715339"
"TR7","91121332527"
"TR8","74041404456"
"TR9","35083177276"
"TRA","70727755138"
"TRB","77531538871"
"TRC","75025447847"
"UKC","8607451937"
"UKD","14180641105"
"UKE","15437407616"
"UKF","15650043491"
"UKG","13014155628"
"UKH","19166806221"
"UKI","1578249064"
"UKJ","19112084510"
"UKK","23929359430"
"UKL","20824921162"
"UKM","79161046769"
"UKN","14150465875"
"AT11","3963981805"
"AT12","19200323134"
"AT13","411003976"
"AT21","9542284033"
"AT22","16410069197"
"AT31","11985730304"
"AT32","7160172544"
"AT33","12648930858"
"AT34","2605405554"
"BE10","163121316"
"BE21","2875187540"
"BE22","2424987198"
"BE23","3012773457"
"BE24","2113543269"
"BE25","3169975468"
"BE31","1099704856"
"BE32","3809763406"
"BE33","3859567515"
"BE34","4460648477"
"BE35","3675053423"
"BG31","19076045442"
"BG32","14796207772"
"BG33","14648393173"
"BG34","19803463732"
"BG41","20296133033"
"BG42","22360073556"
"CH01","8715970001"
"CH02","10061418053"
"CH03","1958949606"
"CH04","1728369718"
"CH05","11522108042"
"CH06","4486053872"
"CH07","2812182294"
"CY00","9244002308"
"CZ01","498731333"
"CZ02","11018474995"
"CZ03","17616057409"
"CZ04","8653644026"
"CZ05","12445540122"
"CZ06","13989390193"
"CZ07","9236824766"
"CZ08","5419733032"
"DE11","10554144797"
"DE12","6925818752"
"DE13","9443754707"
"DE14","9096673192"
"DE21","17529642209"
"DE22","10326280118"
"DE23","9682639046"
"DE24","7231789804"
"DE25","7249958443"
"DE26","8527669037"
"DE27","10049336779"
"DE30","889816421"
"DE40","29657664066"
"DE50","402332224"
"DE60","750140191"
"DE71","7438610157"
"DE72","5383957577"
"DE73","8292223832"
"DE80","23055867153"
"DE91","8124550403"
"DE92","9061809147"
"DE93","15579038563"
"DE94","15006618807"
"DEA1","5298824317"
"DEA2","7358430632"
"DEA3","6922209376"
"DEA4","6529670654"
"DEA5","8014430921"
"DEB1","8076085682"
"DEB2","4930137243"
"DEB3","6847349856"
"DEC0","2574629720"
"DED2","7947208019"
"DED4","6525224036"
"DED5","3978026375"
"DEE0","20538104237"
"DEF0","15762004027"
"DEG0","16203769695"
"DK01","2569833461"
"DK02","7300537800"
"DK03","12161487126"
"DK04","13158199634"
"DK05","7915995665"
"EE00","45365033755"
"EL11","14179672169"
"EL12","18847660821"
"EL13","9459978637"
"EL14","14059879826"
"EL21","9178803446"
"EL22","2311418387"
"EL23","11333940685"
"EL24","15566718193"
"EL25","15512820026"
"EL30","3822393158"
"EL41","3842251379"
"EL42","5367841081"
"EL43","8346317546"
"ES11","29581591249"
"ES12","10607475809"
"ES13","5324124217"
"ES21","7237442144"
"ES22","10391367857"
"ES23","5048855908"
"ES24","47717627825"
"ES30","8029404669"
"ES41","94221831283"
"ES42","79462505024"
"ES43","41629572306"
"ES51","32118324489"
"ES52","23254612507"
"ES53","4995921657"
"ES61","87608453038"
"ES62","11310321585"
"ES63","20521983"
"ES64","13788996"
"ES70","7447414050"
"FI19","64629999009"
"FI1B","9487401398"
"FI1C","35621420565"
"FI1D","226733340597"
"FI20","1489177890"
"FR10","12072658494"
"FR21","25719371152"
"FR22","19504994565"
"FR23","12352479866"
"FR24","39529596204"
"FR25","17761388173"
"FR26","31747147306"
"FR30","12445799418"
"FR41","23675692311"
"FR42","8329484987"
"FR43","16304232340"
"FR51","32381246548"
"FR52","27499164252"
"FR53","25974888620"
"FR61","41805428597"
"FR62","45603220449"
"FR63","17052887148"
"FR71","44964290133"
"FR72","26175012237"
"FR81","27699486977"
"FR82","31838338060"
"FR83","8730436815"
"FR91","1706280468"
"FR92","1103290707"
"FR93","83891340755"
"FR94","2504646406"
"HR04","31847646955"
"HR03","24777741928"
"HU10","6917620195"
"HU21","11111226624"
