"nuts_id","area"
"AL","28799674148"
"CZ","78873251270"
"DE","357661390415"
"DK","43171428497"
"CY","9256703982"
"AT","83944908792"
"BE","30666252645"
"BG","110994229783"
"CH","41286389372"
"EE","45344926455"
"EL","131759420072"
"ES","506004058602"
"FI","337522470861"
"FR","638364847019"
"HR","56516296161"
"HU","93009125408"
"IE","69940293930"
"IS","102696958004"
"IT","300650239153"
"LT","64896830575"
"LU","2595980536"
"BE3","16905428334"
"NL","37380411293"
"NO","323337377165"
"CH0","41286389372"
"DE1","36011876817"
"CY0","9256703982"
"DEA","34119078354"
"BG3","68327206762"
"LV","64586856302"
"ME","13881667823"
"MT","313896740"
"MK","25433732311"
"DE7","21115288381"
"EL5","51662368955"
"EL6","58764595622"
"DE4","29653691100"
"EE0","45344926455"
"DEB","19853382738"
"BE2","13598383473"
"DEF","15693025724"
"DEC","2572822860"
"DEE","20553448797"
"DED","18448767765"
"EL3","3817362250"
"EL4","17515093244"
"DEG","16200255366"
"DK0","43171428497"
"DE2","70581142274"
"DE3","892637612"
"DE8","23080459690"
"CZ0","78873251270"
"DE5","419408348"
"DE6","752836762"
"LI","160027035"
"BG4","42667023021"
"DE9","47713267826"
"AL0","28799674148"
"PL","311940525907"
"SI","20271712958"
"SK","49023912056"
"TR","780375435940"
"UK","244545006004"
"AT1","23576220784"
"RS","77487750334"
"SE","449655124316"
"PT","91909150969"
"RO","238368617959"
"ES4","215313919571"
"ES7","7447883235"
"FI1","336165980348"
"MT0","313896740"
"NL4","7292678365"
"NO0","323337377165"
"FR1","12068463944"
"FRC","48058159674"
"FRE","31931820376"
"FRG","32343154417"
"FRB","39530976988"
"FRD","30075877317"
"ES2","70386929523"
"FRF","57724969111"
"ES1","45499726759"
"ES3","8029522536"
"ES6","98958616813"
"ES5","60367460165"
"FI2","1356490513"
"ITG","49839628377"
"FRH","27420501105"
"AT3","34411187826"
"BE1","162440838"
"FRL","31843816655"
"ITH","61521910258"
"FRI","84712668206"
"ITC","57960658621"
"LT0","64896830575"
"LU0","2595980536"
"LI0","160027035"
"FRK","71134632672"
"FRY","89422623358"
"HR0","56516296161"
"HU1","6914951546"
"ITI","58038639900"
"HR043","1230056216"
"FRJ","73367794453"
"FRM","8729388742"
"HU2","36610958707"
"ITF","73289401997"
"HU3","49483215155"
"IE0","69940293930"
"IS0","102696958004"
"AT2","25957500182"
"PL4","66258455570"
"PL8","63155481858"
"RO2","72591357620"
"PL9","35559487622"
"RS2","52750545555"
"SE1","50370674408"
"SE2","84957002067"
"SE3","314327447842"
"PL7","29927188546"
"RO4","61242191082"
"PL2","27521373536"
"RS1","24737204779"
"CH02","10061737611"
"CH03","1958977951"
"AL02","4966326928"
"AL03","13008383273"
"BG33","14646874198"
"DE13","9401894540"
"CZ05","12441324052"
"AT32","7157470728"
"UKH","19151747136"
"UKI","1576736026"
"CH04","1728381973"
"CH05","11526620995"
"ES53","4993472759"
"UKC","8606909741"
"BG34","19801950889"
"AT11","3965754678"
"BG41","20300135231"
"AT33","12648222125"
"UKJ","19106089799"
"DE14","9135963362"
"AT34","2620644800"
"BE10","162440838"
"BE21","2874982082"
"BG42","22366887790"
"CZ08","5429692431"
"UKD","14180297658"
"DE21","17531308221"
"CH06","4481997625"
"CZ02","10930300605"
"AT22","16413648234"
"BG32","14817570170"
"CH01","8717227432"
"BE24","2118522624"
"BE25","3169472514"
"CZ06","13983169968"
"CH07","2811445785"
"AT12","19196979552"
"AT13","413486555"
"AT21","9543851948"
"BE31","1097856147"
"BE32","3813681165"
"CZ03","17708448000"
"CY00","9256703982"
"CZ01","497197966"
"BE22","2426845613"
"BE23","3008560640"
"BE33","3856332532"
"CZ07","9232997488"
"ES12","10601876914"
"BE34","4460685972"
"DE11","10555477657"
"DE22","10324523402"
"BE35","3676872517"
"CZ04","8650120759"
"ES24","47718378203"
"ES30","8029522536"
"BG31","19060811505"
"DE12","6918541257"
"UKN","14157355066"
"AL01","10824963947"
"AT31","11984850173"
"SK0","49023912056"
"PT1","88785819792"
"PT2","2322664603"
"PT3","800666574"
"UKE","15429641586"
"PL5","29360737050"
"UKK","23908154451"
"RO3","36270121623"
"UKF","15641030845"
"RO1","68264947634"
"SI0","20271712958"
"PL6","60157801725"
"UKG","13013273792"
"LV0","64586856302"
"ME0","13881667823"
"UKL","20821072363"
"UKM","78952697540"
"MK0","25433732311"
"NL1","9081678531"
"NL2","10969185957"
"NL3","10036868440"
"DE73","8290408039"
"DK04","13172920746"
"DE40","29653691100"
"DE93","15539123838"
"ITH3","17756356785"
"EL41","3853995249"
"EL42","5307365409"
"EL65","15515517347"
"DEB1","8073794497"
"EE00","45344926455"
"DE94","14986989666"
