"nuts_id","area"
"AT","83947815485"
"AT1","23577219930"
"AT11","3963517812"
"AT111","701935885"
"AT112","1789958460"
"AT2","25956140550"
"AT211","2029852690"
"AT212","4134237732"
"AT213","3377754070"
"AT22","16414296057"
"AT221","1232540931"
"AT113","1471623467"
"AT121","3357061921"
"AT122","3378278571"
"AT12","19201722216"
"AT123","1231177004"
"AT124","4615717420"
"AT125","2413236297"
"AT126","2727844597"
"AT127","1478406405"
"AT13","411979902"
"AT130","411979902"
"AT21","9541844493"
"AT222","3275191175"
"AT223","3255371856"
"AT224","3364397117"
"AT3","34414455005"
"AT31","11984620913"
"AT312","1743510995"
"AT313","2662096821"
"AT314","2240208093"
"AT315","2516957053"
"AT32","7158814846"
"AT321","1018198966"
"AT225","2223878935"
"AT226","3062916044"
"AT311","2821847952"
"BE2","13597065128"
"BE21","2872739287"
"BE211","1002066582"
"BE212","511673750"
"BE213","1358998955"
"BE22","2426146292"
"BE221","907435507"
"BE222","884252850"
"BE223","634457936"
"AT322","4400938895"
"AT323","1739676985"
"AT331","1235304314"
"AT332","2096288226"
"AT33","12650542395"
"AT333","2020718591"
"AT334","3324796330"
"AT335","3973434934"
"AT34","2620476851"
"AT341","1876709931"
"AT342","743766920"
"BE","30664137840"
"BE1","163168944"
"BE10","163168944"
"BE100","163168944"
"BE23","3008673008"
"BE231","471919194"
"BE232","347500613"
"BE233","335527744"
"BE234","948261256"
"BE235","424095088"
"BE242","1170430213"
"BE25","3171730501"
"BE251","664567732"
"BE252","365252729"
"BE253","553245139"
"BE254","407565955"
"BE255","295272139"
"BE256","273501186"
"BE257","333230730"
"BE258","279094890"
"BE3","16903903768"
"BE31","1097264924"
"BE310","1097264924"
"BE32","3809149323"
"BE321","490943627"
"BE322","558790474"
"BE323","590035010"
"BE324","101890310"
"BE325","516827520"
"BE326","938928482"
"BE327","611733899"
"BE236","481369114"
"BE24","2117776040"
"BE241","947345827"
"BG","110988674303"
"BE33","3860173645"
"BE331","663780258"
"BE332","794776748"
"BE334","389855690"
"BE335","1163114001"
"BE336","848646948"
"BE34","4461786591"
"BE341","321575297"
"BE342","1044729320"
"BE343","960351902"
"BE344","1358807801"
"BE345","776322271"
"BE35","3675529286"
"BE351","1598003433"
"BE352","1166041817"
"BE353","911484036"
"BG3","68328249709"
"BG312","3629004674"
"BG313","3621499577"
"BG314","4652109618"
"BG315","4131504525"
"BG321","4661550550"
"BG32","14810091009"
"BG34","19804047526"
"BG322","2021744788"
"BG323","2868886188"
"BG324","2411745309"
"BG325","2846164173"
"BG31","19068312798"
"BG311","3034194405"
"BG331","3826506941"
"BG332","4717965851"
"BG333","3388561097"
"BG334","2712764487"
"BG341","7748791427"
"BG342","3543721981"
"BG343","3356391620"
"BG344","5155142499"
"BG4","42660424594"
"BG41","20303549527"
"BG33","14645798375"
"BG411","1340143563"
"BG412","7065544268"
"BG413","6451165253"
"BG414","2392853479"
"BG415","3053842964"
"BG421","5964380443"
"CH064","491534391"
"BG42","22356875067"
"BG422","5525689767"
"BG423","4450374848"
"BG424","3206385413"
"BG425","3210044597"
"CZ01","496575521"
"CY","9249110600"
"CY0","9249110600"
"CY00","9249110600"
"CY000","9249110600"
"CZ","78869510210"
"CZ0","78869510210"
"CZ010","496575521"
"CZ02","11017343594"
"CZ020","11017343594"
"CZ03","17618404067"
"CZ031","10060183332"
"CZ032","7558220735"
"CZ04","8653474625"
"CZ041","3319447143"
"CZ042","5334027481"
"CZ05","12439477372"
"CZ07","9231409299"
"CZ071","5267985016"
"CZ08","5423798871"
"CZ080","5423798871"
"CZ051","3162752783"
"CZ052","4756386915"
"CZ053","4520337674"
"CZ072","3963424284"
"CZ06","13989026862"
"CZ063","6793691756"
"CZ064","7195335106"
"CH0","41287364106"
"CH01","8713795799"
"CH013","282308296"
"CH011","3209763232"
"CH012","5221724271"
"CH02","10062125850"
"CH","41287364106"
"CH022","1670306260"
"CH023","790085222"
"CH024","803602390"
"CH025","838193474"
"CH03","1959411807"
"CH031","37626322"
"CH032","516065556"
"CH033","1405719930"
"CH04","1728757474"
"CH040","1728757474"
"CH05","11529300797"
"CH051","686628936"
"CH052","296944802"
"CH053","243971754"
"CH054","171944961"
"CH055","2031351026"
"CH056","7107936943"
"CH057","990522375"
"CH06","4481260940"
"CH061","1493498532"
"CH062","1075798792"
"CH063","906846314"
"CH021","5959938504"
"CH065","275121657"
"CH066","238461253"
"CH07","2812711439"
"CH070","2812711439"
"DE","357737211640"
"DE11B","1304930043"
"DE11C","622552000"
"DE11D","1513471476"
"DE121","139017546"
"DE122","173419442"
"DE12","6918398385"
"DE123","1085053536"
"DE124","740941149"
"DE125","110242384"
"DE126","146454992"
"DE127","1125729590"
"DE128","1057507913"
"DE129","98881167"
"DE1","36014529657"
"DE11","10555036351"
"DE111","208088632"
"DE112","615240719"
"DE113","640008815"
"DE114","643714339"
"DE115","689511199"
"DE116","857392409"
"DE117","100329421"
"DE118","1099745569"
"DE119","779931738"
"DE11A","1480119990"
"DE94G","834784146"
"DE94H","660156491"
"DEA","34113764414"
"DEA1","5293498969"
"DEA11","215199225"
"DEA45","1249163801"
"DEA46","1154583555"
"DEA47","1245706362"
"DEA51","144366912"
"DEA52","280602746"
"DEA53","160101493"
"DEA54","229814729"
"DEA55","50316048"
"DEB3","6849137145"
"DEB31","43722957"
"DEB32","139575355"
"DEB33","82929181"
"DEB34","78009107"
"DEB35","96063715"
"DEB36","116834086"
"DEB37","62096360"
"DEB38","41799132"
"DEB39","108425361"
"DED2D","2111646766"
"DED2E","1455646580"
"DED2F","1651393329"
"DED41","222435650"
"DEA5","8014168400"
"DED42","1825530251"
"DED43","2116931830"
"DED44","1409148363"
"DED45","949718728"
"DED4","6523764822"
"DED5","3977248407"
"DED51","300759784"
"DED52","1649311738"
"DED53","2027176886"
"DEE01","246475022"
"DEE02","134511586"
"DEE03","198951061"
"DEE04","2305016153"
"DEE05","1458587231"
"DEE06","1589238477"
"DEE07","2379876622"
"DEE08","1415807142"
"DEE09","2105384955"
"DEE0A","1451738961"
"DEE0B","1444147745"
"DEE0C","1433058456"
"DEE0D","2439206838"
"DEE0E","1944869978"
"DEF","15717620264"
"DEE","20546870225"
"DEF0","15717620264"
"DEF01","50434887"
"DEF02","112246056"
"DEF03","212862742"
"DEF04","71851496"
"DEF05","1442645096"
"DEF06","1262397634"
"DEE0","20546870225"
"DEF0D","1346702792"
"DEF0E","1055027568"
"DEF0F","765301559"
"DEG","16210141968"
"DEF07","2109487479"
"DEF08","1385472578"
"DEF09","661640455"
"DEG0","16210141968"
"DEG01","270896466"
"DEG02","151558338"
"DEG03","114131036"
"DEG04","100755470"
"DEG05","83585581"
"DEG06","942009960"
"DEG07","717216145"
"DEG09","980179106"
"DEF0A","1082827899"
"DEF0B","2169750275"
"DEF0C","1988971749"
"DEG0A","1040623402"
"DEG0B","1212192873"
"DEG0C","936013417"
"DEG0D","809212436"
"DEG0E","938265392"
"DEG0F","841610750"
"DEG0G","804586179"
"DEG0H","434500112"
"DEG0I","1040372252"
"DEG0J","816967973"
"DEG0K","1149786935"
"DEG0L","847567620"
"DEG0M","570504311"
"DEG0N","103608220"
"DEG0P","1303997993"
"DK","43174735642"
"DK0","43174735642"
"DK01","2576480590"
"DE928","676038023"
"DE929","2297116789"
"DEA12","229741514"
"DEA13","211432762"
"DEA14","136971466"
"DEA15","169662569"
"DEA16","90567741"
"DEA17","76716210"
"DEA18","73952869"
"DEA19","89137517"
"DEA1A","168454557"
"DEA1B","1231835302"
"DEA1C","411442990"
"DEA56","411778853"
"DEA57","1959171829"
"DEA58","1061581731"
"DEA59","711925785"
"DEA5A","1135370223"
"DEB3A","72402773"
"DEB3B","588408221"
"DEB3C","596043297"
"DEB3D","644480317"
"DEB3E","464338936"
"DEB3F","641315174"
"DE93","15576952997"
"DE931","1550760190"
"DEA1D","578686895"
"DEA1E","562897100"
"DEA1F","1046800254"
"DEA5B","1327116949"
"DEA5C","542021104"
"DEB1","8075568422"
"DEB3G","571904269"
"DEB3H","638166803"
"DEB3I","304115885"
"DEB3J","606124793"
"DE932","2062392613"
"DE933","1247659069"
"DE934","1227205553"
"DE935","1325695648"
"DE936","650822724"
"DEA2","7361524424"
"DEA22","141585040"
"DEA23","407289675"
"DEA24","79054182"
"DEA26","942495047"
"DEB","19852744867"
"DEB3K","952381424"
"DEC","2571255356"
"DEC0","2571255356"
"DE937","2072814284"
"DE938","1883229278"
"DE939","1304322072"
"DE93A","1460866723"
"DEA27","701031322"
"DEA28","1248342986"
"DEA29","628738673"
"DEA2A","919340760"
"DEA2B","437737794"
"DEB11","106148862"
"DEB12","787718032"
"DEB13","641323863"
"DEB14","864226978"
"DEB15","776754818"
"DEB16","720519257"
