CNTR_BN_CODE,CNTR_CODE
1313,AU
1314,AU
1315,AU
1316,AU
1317,AU
1318,AU
1319,AU
1320,AU
1321,AU
1322,AU
1323,AU
1324,AU
1325,AU
1326,AU
1327,AU
1328,AU
1329,AU
1330,AU
1331,AU
1332,AU
1333,AU
1334,AU
1335,AU
1336,AU
1337,AU
1338,AU
1339,AU
1340,AU
1341,AU
1342,AU
1343,AU
1344,AU
1345,AU
1346,AU
1347,AU
1348,AU
1349,AU
1350,AU
1351,AU
1352,AU
1353,AU
1354,AU
1355,AU
1356,AU
1357,AU
1358,AU
1359,AU
1360,AU
1361,AU
1362,AU
1363,AU
1364,AU
1365,AU
1366,AU
1367,AU
1368,AU
1369,AU
1370,AU
1371,AU
1372,AU
1373,AU
1374,AU
1375,AU
1376,AU
1377,AU
1378,AU
1379,AU
1380,AU
1381,AU
1382,AU
1383,AU
1384,AU
1385,AU
1386,AU
1387,AU
1388,AU
1389,AU
1390,AU
1391,AU
1392,AU
1393,AU
1394,AU
1395,AU
1396,AU
1397,AU
1398,AU
1399,AU
1400,AU
1401,AU
1402,AU
1403,AU
1404,AU
1405,AU
1406,AU
1407,AU
1408,AU
1409,AU
1410,AU
1411,AU
1412,AU
1413,AU
1414,AU
1415,AU
1416,AU
1417,AU
1418,AU
1419,AU
1420,AU
1421,AU
1422,AU
479,AR
480,AR
481,AR
482,AR
483,AR
484,AR
485,AR
486,AR
487,AR
488,AR
489,AR
490,AR
491,AR
492,AR
493,AR
494,AR
495,AR
496,AR
497,AR
498,AR
499,AR
500,AR
501,AR
502,AR
503,AR
504,AR
505,AR
506,AR
507,AR
508,AR
509,AR
510,AR
511,AR
512,AR
513,AS
514,AS
515,AS
516,AS
517,AS
518,AS
519,AU
520,AU
521,AU
522,AU
523,AU
524,AU
525,AU
526,AU
527,AU
528,AU
529,AU
530,AU
531,AU
532,AU
533,AU
534,AU
535,AU
536,AU
537,AU
538,AU
539,AU
540,AU
541,AU
542,AU
543,AU
544,AU
545,AU
546,AU
547,AU
548,AU
549,AU
550,AU
551,AU
552,AU
553,AU
554,AU
555,AU
556,AU
557,AU
558,AU
559,AU
560,AU
561,AU
562,AU
563,AU
564,AU
565,AU
566,AU
567,AU
568,AU
569,AU
570,AU
571,AU
572,AU
573,AU
574,AU
575,AU
576,AU
577,AU
578,AU
579,AU
580,AU
581,AU
582,AU
583,AU
584,AU
585,AU
586,AU
587,AU
588,AU
589,AU
590,AU
591,AU
592,AU
593,AU
594,AU
595,AU
596,AU
597,AU
598,AU
599,AU
600,AU
601,AU
602,AU
603,AU
604,AU
605,AU
606,AU
607,AU
608,AU
609,AU
610,AU
611,AU
612,AU
613,AU
614,AU
615,AU
616,AU
617,AU
618,AU
619,AU
620,AU
621,AU
622,AU
623,AU
624,AU
625,AU
626,AU
627,AU
628,AU
629,AU
630,AU
631,AU
632,AU
633,AU
634,AU
635,AU
636,AU
637,AU
638,AU
639,AU
640,AU
641,AU
642,AU
643,AU
644,AU
645,AU
646,AU
647,AU
648,AU
649,AU
650,AU
651,AU
652,AU
653,AU
654,AU
655,AU
656,AU
657,AU
658,AU
659,AU
660,AU
661,AU
662,AU
663,AU
664,AU
665,AU
666,AU
667,AU
668,AU
669,AU
670,AU
671,AU
672,AU
673,AU
674,AU
675,AU
676,AU
677,AU
678,AU
679,AU
680,AU
681,AU
682,AU
683,AU
684,AU
685,AU
686,AU
687,AU
688,AU
689,AU
690,AU
691,AU
692,AU
693,AU
694,AU
695,AU
696,AU
697,AU
698,AU
699,AU
700,AU
701,AU
702,AU
703,AU
704,AU
705,AU
706,AU
707,AU
708,AU
709,AU
710,AU
711,AU
712,AU
713,AU
714,AU
715,AU
716,AU
717,AU
718,AU
719,AU
720,AU
721,AU
722,AU
723,AU
724,AU
725,AU
726,AU
727,AU
728,AU
729,AU
730,AU
731,AU
732,AU
733,AU
734,AU
735,AU
736,AU
737,AU
738,AU
739,AU
740,AU
741,AU
742,AU
743,AU
744,AU
745,AU
746,AU
747,AU
748,AU
749,AU
750,AU
751,AU
752,AU
753,AU
754,AU
755,AU
756,AU
757,AU
758,AU
759,AU
760,AU
761,AU
762,AU
763,AU
764,AU
765,AU
766,AU
767,AU
768,AU
769,AU
770,AU
771,AU
772,AU
773,AU
774,AU
775,AU
776,AU
777,AU
778,AU
779,AU
780,AU
781,AU
782,AU
783,AU
784,AU
785,AU
786,AU
787,AU
788,AU
789,AU
790,AU
791,AU
792,AU
793,AU
794,AU
795,AU
796,AU
797,AU
798,AU
799,AU
800,AU
801,AU
802,AU
803,AU
804,AU
805,AU
806,AU
807,AU
808,AU
809,AU
810,AU
811,AU
812,AU
813,AU
814,AU
815,AU
816,AU
817,AU
818,AU
819,AU
820,AU
821,AU
822,AU
823,AU
824,AU
825,AU
826,AU
827,AU
828,AU
829,AU
830,AU
831,AU
832,AU
833,AU
834,AU
835,AU
836,AU
837,AU
838,AU
839,AU
840,AU
841,AU
842,AU
843,AU
844,AU
845,AU
846,AU
847,AU
848,AU
849,AU
850,AU
851,AU
852,AU
853,AU
854,AU
855,AU
856,AU
857,AU
858,AU
859,AU
860,AU
861,AU
862,AU
863,AU
864,AU
865,AU
866,AU
867,AU
868,AU
869,AU
870,AU
871,AU
872,AU
873,AU
874,AU
875,AU
876,AU
877,AU
878,AU
879,AU
880,AU
881,AU
882,AU
883,AU
884,AU
885,AU
886,AU
887,AU
888,AU
889,AU
890,AU
891,AU
892,AU
893,AU
894,AU
895,AU
896,AU
897,AU
898,AU
899,AU
900,AU
901,AU
902,AU
903,AU
904,AU
905,AU
906,AU
907,AU
908,AU
909,AU
910,AU
911,AU
912,AU
913,AU
914,AU
915,AU
916,AU
917,AU
918,AU
919,AU
920,AU
921,AU
922,AU
923,AU
924,AU
925,AU
926,AU
927,AU
928,AU
929,AU
930,AU
931,AU
932,AU
933,AU
934,AU
935,AU
936,AU
937,AU
938,AU
939,AU
940,AU
941,AU
942,AU
943,AU
944,AU
945,AU
946,AU
947,AU
948,AU
949,AU
950,AU
391,AQ
392,AQ
393,AQ
394,AQ
395,AQ
396,AQ
397,AQ
398,AQ
399,AQ
400,AQ
401,AQ
402,AQ
403,AQ
404,AQ
405,AQ
406,AQ
407,AQ
408,AQ
409,AQ
410,AQ
411,AQ
412,AQ
413,AQ
414,AQ
415,AQ
416,AQ
417,AQ
418,AQ
419,AQ
420,AQ
421,AQ
422,AQ
423,AQ
424,AQ
425,AQ
426,AQ
427,AQ
428,AQ
429,AQ
430,AQ
431,AQ
432,AQ
433,AQ
434,AQ
435,AQ
436,AQ
437,AQ
438,AQ
439,AQ
440,AQ
441,AQ
442,AR
443,AR
444,AR
445,AR
446,AR
447,AR
448,AR
449,AR
450,AR
451,AR
452,AR
453,AR
454,AR
455,AR
456,AR
457,AR
458,AR
459,AR
460,AR
461,AR
462,AR
463,AR
464,AR
465,AR
466,AR
467,AR
468,AR
469,AR
470,AR
471,AR
472,AR
473,AR
1,AE
2,AE
3,AE
4,AE
5,AE
6,AE
7,AE
8,AE
9,AE
10,AE
11,AE
12,AE
13,AE
14,AE
15,AE
16,AE
17,AE
18,AE
19,AE
20,AE
21,AE
22,AE
23,AE
24,AE
25,AE
26,AE
27,AE
28,AE
29,AE
30,AE
31,AE
32,AE
33,AE
34,AE
35,AE
36,AE
37,AE
38,AE
39,AE
40,AE
41,AE
42,AE
43,AE
44,AE
45,AE
46,AE
47,AE
48,AE
49,AE
50,AE
51,AE
52,AE
53,AE
54,AE
55,AE
56,AE
57,AE
58,AE
59,AE
60,AE
61,AE
62,AE
63,AE
64,AE
65,AE
66,AE
67,AE
68,AE
69,AE
70,AE
71,AG
72,AG
73,AG
74,AG
75,AG
76,AI
77,AI
78,AI
79,AI
80,AL
81,AL
82,AN
83,AN
84,AN
85,AN
86,AN
87,AN
88,AN
89,AN
90,AN
91,AO
92,AO
93,AO
94,AO
95,AO
96,AO
97,AO
98,AO
99,AO
100,AO
101,AO
102,AO
103,AO
104,AO
105,AO
106,AO
107,AO
108,AO
109,AQ
110,AQ
111,AQ
112,AQ
113,AQ
114,AQ
115,AQ
116,AQ
117,AQ
118,AQ
119,AQ
120,AQ
121,AQ
122,AQ
123,AQ
124,AQ
125,AQ
126,AQ
127,AQ
128,AQ
129,AQ
130,AQ
131,AQ
132,AQ
133,AQ
134,AQ
135,AQ
136,AQ
137,AQ
138,AQ
139,AQ
140,AQ
141,AQ
142,AQ
143,AQ
144,AQ
145,AQ
146,AQ
147,AQ
148,AQ
149,AQ
150,AQ
151,AQ
152,AQ
153,AQ
154,AQ
155,AQ
156,AQ
157,AQ
158,AQ
159,AQ
160,AQ
161,AQ
162,AQ
163,AQ
164,AQ
165,AQ
166,AQ
167,AQ
168,AQ
169,AQ
170,AQ
171,AQ
172,AQ
173,AQ
174,AQ
175,AQ
176,AQ
177,AQ
178,AQ
179,AQ
180,AQ
181,AQ
182,AQ
183,AQ
184,AQ
185,AQ
186,AQ
187,AQ
188,AQ
189,AQ
190,AQ
191,AQ
192,AQ
193,AQ
194,AQ
195,AQ
196,AQ
197,AQ
198,AQ
199,AQ
200,AQ
201,AQ
202,AQ
203,AQ
204,AQ
205,AQ
206,AQ
207,AQ
208,AQ
209,AQ
210,AQ
211,AQ
212,AQ
213,AQ
214,AQ
215,AQ
216,AQ
217,AQ
218,AQ
219,AQ
220,AQ
221,AQ
222,AQ
223,AQ
224,AQ
225,AQ
226,AQ
227,AQ
228,AQ
229,AQ
230,AQ
231,AQ
232,AQ
233,AQ
234,AQ
235,AQ
236,AQ
237,AQ
238,AQ
239,AQ
240,AQ
241,AQ
242,AQ
243,AQ
244,AQ
245,AQ
246,AQ
247,AQ
248,AQ
249,AQ
250,AQ
251,AQ
252,AQ
253,AQ
254,AQ
255,AQ
256,AQ
257,AQ
258,AQ
259,AQ
260,AQ
261,AQ
262,AQ
263,AQ
264,AQ
265,AQ
266,AQ
267,AQ
268,AQ
269,AQ
270,AQ
271,AQ
272,AQ
273,AQ
274,AQ
275,AQ
276,AQ
277,AQ
278,AQ
279,AQ
280,AQ
281,AQ
282,AQ
283,AQ
284,AQ
285,AQ
286,AQ
287,AQ
288,AQ
289,AQ
290,AQ
291,AQ
292,AQ
293,AQ
294,AQ
295,AQ
296,AQ
297,AQ
298,AQ
299,AQ
300,AQ
301,AQ
302,AQ
303,AQ
304,AQ
305,AQ
306,AQ
307,AQ
308,AQ
309,AQ
310,AQ
311,AQ
312,AQ
313,AQ
314,AQ
315,AQ
316,AQ
317,AQ
318,AQ
319,AQ
320,AQ
321,AQ
322,AQ
323,AQ
324,AQ
325,AQ
326,AQ
327,AQ
328,AQ
329,AQ
330,AQ
331,AQ
332,AQ
333,AQ
334,AQ
335,AQ
336,AQ
337,AQ
338,AQ
339,AQ
340,AQ
341,AQ
342,AQ
343,AQ
344,AQ
345,AQ
346,AQ
347,AQ
348,AQ
349,AQ
350,AQ
351,AQ
352,AQ
353,AQ
354,AQ
355,AQ
356,AQ
357,AQ
358,AQ
359,AQ
360,AQ
361,AQ
362,AQ
363,AQ
364,AQ
365,AQ
366,AQ
367,AQ
368,AQ
369,AQ
370,AQ
371,AQ
372,AQ
373,AQ
374,AQ
375,AQ
376,AQ
377,AQ
378,AQ
379,AQ
380,AQ
381,AQ
382,AQ
383,AQ
384,AQ
385,AQ
386,AQ
387,AQ
388,AQ
389,AQ
390,AQ
474,AR
475,AR
476,AR
477,AR
478,AR
1423,AU
1424,AU
1425,AU
1426,AU
1427,AU
1428,AU
1429,AU
1430,AU
1431,AU
1432,AU
1433,AU
1434,AU
1435,AU
1436,AU
1437,AU
1438,AU
1439,AU
1440,AU
1441,AU
1442,AU
1443,AU
1444,AU
1445,AU
1446,AU
1447,AU
1448,AU
1449,AU
1450,AU
1451,AU
1452,AU
1453,AU
1454,AU
1455,AU
1456,AU
1457,AU
1458,AU
1459,AU
1460,AU
1461,AU
1462,AU
1463,AU
1464,AU
1465,AU
1466,AU
1467,AU
1468,AU
1469,AU
1470,AU
1471,AU
1472,AU
1473,AU
1474,AU
1475,AU
1476,AU
1477,AU
1478,AU
1479,AU
1480,AU
1481,AU
1482,AU
1483,AU
1484,AU
1485,AU
1486,AU
1487,AU
1488,AU
1489,AU
1490,AU
1491,AU
1492,AU
1493,AU
1494,AU
1495,AU
1496,AU
1497,AU
1498,AU
1499,AU
1500,AU
1501,AU
1502,AU
1503,AU
1504,AU
1505,AU
1506,AU
1507,AU
1508,AU
1509,AU
1510,AU
1511,AU
1512,AU
1513,AU
1514,AU
1515,AU
1516,AU
1517,AU
1518,AU
1519,AU
1520,AU
1521,AU
1522,AU
1523,AU
1524,AU
1525,AU
1526,AU
1527,AW
1528,AZ
1529,AZ
1530,AZ
1531,BA
1532,BB
1533,BD
1534,BD
1535,BD
1536,BD
1537,BD
1538,BD
1539,BD
1540,BD
1541,BD
1542,BD
1543,BD
1544,BD
1545,BD
1546,BD
1547,BD
1548,BD
1549,BD
1550,BD
1551,BD
1552,BD
1553,BD
1554,BD
1555,BD
1556,BD
1557,BD
1558,BD
1559,BD
1560,BD
1561,BD
1562,BD
1563,BD
1564,BD
1565,BD
1566,BD
1567,BD
1568,BD
1569,BD
1570,BD
1571,BD
1572,BD
1573,BD
1574,BD
1575,BD
1576,BD
1577,BD
1578,BD
1579,BD
1580,BD
1581,BD
1582,BD
1583,BD
1584,BD
1585,BD
1586,BD
1587,BD
1588,BD
1589,BD
1590,BD
1591,BD
1592,BD
1593,BD
1594,BD
1595,BD
1596,BD
1597,BD
1598,BD
1599,BD
1600,BD
1601,BD
1602,BD
1603,BD
1604,BD
1605,BD
1606,BD
1607,BD
1608,BD
1609,BD
1610,BD
1611,BD
1612,BD
1613,BD
1614,BD
1615,BD
1616,BD
1617,BD
1618,BD
1619,BD
1620,BD
1621,BD
1622,BD
1623,BD
1624,BD
1625,BD
1626,BD
1627,BD
1628,BD
1629,BD
1630,BD
1631,BD
1632,BD
1633,BD
1634,BD
1635,BD
1636,BD
1637,BD
1638,BD
1639,BD
1640,BD
1641,BD
1642,BD
1643,BD
1644,BD
1645,BD
1646,BD
1647,BD
1648,BD
1649,BD
1650,BD
1651,BD
1652,BD
1653,BD
1654,BD
1655,BD
1656,BD
1657,BD
1658,BD
1659,BD
1660,BD
1661,BD
1662,BD
1663,BD
1664,BD
1665,BD
1666,BD
1667,BD
1668,BD
1669,BD
1670,BD
1671,BD
1672,BD
1673,BD
1674,BD
1675,BD
1676,BD
1677,BD
1678,BD
1679,BD
1680,BD
1681,BD
1682,BD
1683,BD
1684,BD
1685,BD
1686,BD
1687,BD
1688,BD
1689,BD
1690,BD
1691,BE
1692,BE
1693,BG
1694,BH
1695,BH
1696,BH
1697,BH
1698,BH
1699,BH
1700,BH
1701,BH
1702,BH
1703,BH
1704,BJ
1705,BM
1706,BM
1707,BM
1708,BN
1709,BN
1710,BR
1711,BR
1712,BR
1713,BR
1714,BR
1715,BR
1716,BR
1717,BR
1718,BR
1719,BR
1720,BR
1721,BR
1722,BR
1723,BR
1724,BR
1725,BR
1726,BR
1727,BR
1728,BR
1729,BR
1730,BR
1731,BR
1732,BR
1733,BR
1734,BR
1735,BR
1736,BR
1737,BR
1738,BR
1739,BR
1740,BR
1741,BR
1742,BR
1743,BR
1744,BR
1745,BR
1746,BR
1747,BR
1748,BR
1749,BR
1750,BR
1751,BR
1752,BR
1753,BR
1754,BR
1755,BR
1756,BR
1757,BR
1758,BR
1759,BR
1760,BR
1761,BR
1762,BR
1763,BR
1764,BR
1765,BR
1766,BR
1767,BR
1768,BR
1769,BR
1770,BR
1771,BR
1772,BR
1773,BR
1774,BR
1775,BR
1776,BR
1777,BR
1778,BR
1779,BR
1780,BR
1781,BR
1782,BR
1783,BR
1784,BR
1785,BR
1786,BR
1787,BR
1788,BR
1789,BR
1790,BR
1791,BR
1792,BR
1793,BR
1794,BR
1795,BR
1796,BR
1797,BR
1798,BR
1799,BR
1800,BR
1801,BR
1802,BR
1803,BR
1804,BR
1805,BR
1806,BR
1807,BR
1808,BR
1809,BR
1810,BR
1811,BR
1812,BR
1813,BR
1814,BR
1815,BR
1816,BR
1817,BR
1818,BR
1819,BR
1820,BR
1821,BR
1822,BR
1823,BR
1824,BR
1825,BR
1826,BR
1827,BR
1828,BR
1829,BR
1830,BR
1831,BR
1832,BR
1833,BR
1834,BR
1835,BR
1836,BR
1837,BR
1838,BR
1839,BR
1840,BR
1841,BR
1842,BR
1843,BR
1844,BR
1845,BR
1846,BR
1847,BR
1848,BR
1849,BR
1850,BR
1851,BR
1852,BR
1853,BR
1854,BR
1855,BR
1856,BR
1857,BR
1858,BR
1859,BR
1860,BR
1861,BR
1862,BR
1863,BR
1864,BR
1865,BR
1866,BR
1867,BR
1868,BR
1869,BR
1870,BR
1871,BR
1872,BR
1873,BR
1874,BR
1875,BR
1876,BR
1877,BR
1878,BR
1879,BR
1880,BR
1881,BR
1882,BR
1883,BR
1884,BR
1885,BR
1886,BR
1887,BR
1888,BR
1889,BR
1890,BR
1891,BR
1892,BR
1893,BR
1894,BR
1895,BR
1896,BR
1897,BR
1898,BR
1899,BR
1900,BR
1901,BR
1902,BR
1903,BR
1904,BR
1905,BR
1906,BR
1907,BR
1908,BR
1909,BR
1910,BR
1911,BR
1912,BR
1913,BR
1914,BR
1915,BR
1916,BR
1917,BR
1918,BR
1919,BR
1920,BR
1921,BR
1922,BR
1923,BR
1924,BR
1925,BR
1926,BR
1927,BR
1928,BR
1929,BR
1930,BR
1931,BR
1932,BR
1933,BR
1934,BR
1935,BR
1936,BR
1937,BR
1938,BR
1939,BR
1940,BR
1941,BR
1942,BR
1943,BR
1944,BR
1945,BR
1946,BR
1947,BR
1948,BR
1949,BR
1950,BR
1951,BR
1952,BR
1953,BR
1954,BR
1955,BR
1956,BR
1957,BR
1958,BR
1959,BR
1960,BR
1961,BR
1962,BR
1963,BR
1964,BR
1965,BR
1966,BR
1967,BR
1968,BR
1969,BR
1970,BR
1971,BR
1972,BR
1973,BR
1974,BR
1975,BR
1976,BR
1977,BR
1978,BR
1979,BR
1980,BR
1981,BR
1982,BR
1983,BR
1984,BR
1985,BR
1986,BR
1987,BR
1988,BR
1989,BR
1990,BR
1991,BR
1992,BR
1993,BR
1994,BR
1995,BR
1996,BR
1997,BR
1998,BR
1999,BR
2000,BR
2001,BR
2002,BR
2003,BR
2004,BR
2005,BR
2006,BR
2007,BR
2008,BR
2009,BR
2010,BR
2011,BR
2012,BR
2013,BR
2014,BR
2015,BR
2016,BR
2017,BR
2018,BR
2019,BR
2020,BR
2021,BR
2022,BR
2023,BR
2024,BR
2025,BR
2026,BR
2027,BR
2028,BR
2029,BR
2030,BR
2031,BR
2032,BR
2033,BR
2034,BR
2035,BR
2036,BR
2037,BR
2038,BR
2039,BR
2040,BR
2041,BR
2042,BR
2043,BR
2044,BR
2045,BR
2046,BR
2047,BR
2048,BR
2049,BR
2050,BR
2051,BR
2052,BR
2053,BR
2054,BR
2055,BR
2056,BR
2057,BR
2058,BR
2059,BR
2060,BR
2061,BR
2062,BR
2063,BR
2064,BR
2065,BR
2066,BS
2067,BS
2068,BS
2069,BS
2070,BS
2071,BS
2072,BS
2073,BS
2074,BS
2075,BS
2076,BS
2077,BS
2078,BS
2079,BS
2080,BS
2081,BS
2082,BS
2083,BS
2084,BS
2085,BS
2086,BS
2087,BS
2088,BS
2089,BS
2090,BS
2091,BS
2092,BS
2093,BS
2094,BS
2095,BS
2096,BS
2097,BS
2098,BS
2099,BS
2100,BS
2101,BS
2102,BS
2103,BS
2104,BS
2105,BS
2106,BS
2107,BS
2108,BS
2109,BS
2110,BS
2111,BS
2112,BS
2113,BS
2114,BS
2115,BS
2116,BS
2117,BS
2118,BS
2119,BS
2120,BS
2121,BS
2122,BS
2123,BS
2124,BS
2125,BS
2126,BS
2127,BS
2128,BS
2129,BS
2130,BS
2131,BS
2132,BS
2133,BS
2134,BS
2135,BS
2136,BS
2137,BS
2138,BS
2139,BS
2140,BS
2141,BS
2142,BS
2143,BS
2144,BS
2145,BS
2146,BS
2147,BS
2148,BS
2149,BS
2150,BS
2151,BS
2152,BS
2153,BS
2154,BS
2155,BS
2156,BS
2157,BS
2158,BS
2159,BS
2160,BS
2161,BS
2162,BS
2163,BS
2164,BS
2165,BS
2166,BS
2167,BS
2168,BS
2169,BS
2170,BS
2171,BS
2172,BS
2173,BS
2174,BS
2175,BS
2176,BS
2177,BS
2178,BS
2179,BS
2180,BS
2181,BS
2182,BS
2183,BS
2184,BS
2185,BS
2186,BS
2187,BS
2188,BS
2189,BS
2190,BS
2191,BS
2192,BS
2193,BS
2194,BS
2195,BS
2196,BS
2197,BS
2198,BS
2199,BS
2200,BS
2201,BS
2202,BS
2203,BS
2204,BS
2205,BS
2206,BS
2207,BS
2208,BS
2209,BS
2210,BS
2211,BS
2212,BS
2213,BS
2214,BS
2215,BS
2216,BS
2217,BS
2218,BS
2219,BS
2220,BS
2221,BS
2222,BS
2223,BS
2224,BS
2225,BS
2226,BS
2227,BS
2228,BS
2229,BS
2230,BS
2231,BS
2232,BS
2233,BS
2234,BS
2235,BS
2236,BS
2237,BS
2238,BS
2239,BS
2240,BS
2241,BS
2242,BS
2243,BS
2244,BS
2245,BS
2246,BS
2247,BS
2248,BS
2249,BS
2250,BS
2251,BS
2252,BS
2253,BS
2254,BS
2255,BS
2256,BS
2257,BS
2258,BS
2259,BS
2260,BS
2261,BS
2262,BS
2263,BS
2264,BS
2265,BS
2266,BS
2267,BS
2268,BS
2269,BS
2270,BS
2271,BS
2272,BS
2273,BS
2274,BS
2275,BS
2276,BS
2277,BS
2278,BS
2279,BS
2280,BS
2281,BS
2282,BS
2283,BS
2284,BS
2285,BS
2286,BS
2287,BS
2288,BS
2289,BS
2290,BS
2291,BS
2292,BS
2293,BS
2294,BS
2295,BS
2296,BS
2297,BS
2298,BS
2299,BS
2300,BS
2301,BS
2302,BS
2303,BS
2304,BS
2305,BS
2306,BS
2307,BS
2308,BS
2309,BS
2310,BS
2311,BS
2312,BS
2313,BS
2314,BS
2315,BS
2316,BS
2317,BS
2318,BS
2319,BS
2320,BS
2321,BS
2322,BS
2323,BS
2324,BS
2325,BS
2326,BS
2327,BS
2328,BS
2329,BS
2330,BS
2331,BS
2332,BS
2333,BS
2334,BS
2335,BS
2336,BS
2337,BS
2338,BS
2339,BS
2340,BS
2341,BS
2342,BS
2343,BS
2344,BS
2345,BS
2346,BS
2347,BS
2348,BS
2349,BS
2350,BS
2351,BS
2352,BS
2353,BS
2354,BS
2355,BS
2356,BS
2357,BS
2358,BS
2359,BS
2360,BS
2361,BS
2362,BS
2363,BS
2364,BS
2365,BS
2366,BS
2367,BS
2368,BV
2369,BZ
2370,BZ
2371,BZ
2372,BZ
2373,BZ
2374,BZ
2375,BZ
2376,BZ
2377,BZ
2378,BZ
2379,BZ
2380,BZ
2381,BZ
2382,BZ
2383,BZ
2384,BZ
2385,BZ
2386,BZ
2387,BZ
2388,BZ
2389,BZ
2390,BZ
2391,BZ
2392,BZ
2393,BZ
2394,BZ
2395,BZ
2396,BZ
2397,BZ
2398,BZ
2399,BZ
2400,BZ
2401,BZ
2402,BZ
2403,BZ
2404,BZ
2405,BZ
2406,BZ
2407,BZ
2408,BZ
2409,BZ
2410,BZ
2411,BZ
2412,BZ
2413,CA
2414,CA
2415,CA
2416,CA
2417,CA
2418,CA
2419,CA
2420,CA
2421,CA
2422,CA
2423,CA
2424,CA
2425,CA
2426,CA
2427,CA
2428,CA
2429,CA
