CNTR_BN_CODE,CNTR_CODE
951,AU
952,AU
953,AU
954,AU
955,AU
956,AU
957,AU
958,AU
959,AU
960,AU
961,AU
962,AU
963,AU
964,AU
965,AU
966,AU
967,AU
968,AU
969,AU
970,AU
971,AU
972,AU
973,AU
974,AU
975,AU
976,AU
977,AU
978,AU
979,AU
980,AU
981,AU
982,AU
983,AU
984,AU
985,AU
986,AU
987,AU
988,AU
989,AU
990,AU
991,AU
992,AU
993,AU
994,AU
995,AU
996,AU
997,AU
998,AU
999,AU
1000,AU
1001,AU
1002,AU
1003,AU
1004,AU
1005,AU
1006,AU
1007,AU
1008,AU
1009,AU
1010,AU
1011,AU
1012,AU
1013,AU
1014,AU
1015,AU
1016,AU
1017,AU
1018,AU
1019,AU
1020,AU
1021,AU
1022,AU
1023,AU
1024,AU
1025,AU
1026,AU
1027,AU
1028,AU
1029,AU
1030,AU
1031,AU
1032,AU
1033,AU
1034,AU
1035,AU
1036,AU
1037,AU
1038,AU
1039,AU
1040,AU
1041,AU
1042,AU
1043,AU
1044,AU
1045,AU
1046,AU
1047,AU
1048,AU
1049,AU
1050,AU
1051,AU
1052,AU
1053,AU
1054,AU
1055,AU
1056,AU
1057,AU
1058,AU
1059,AU
1060,AU
1061,AU
1062,AU
1063,AU
1064,AU
1065,AU
1066,AU
1067,AU
1068,AU
1069,AU
1070,AU
1071,AU
1072,AU
1073,AU
1074,AU
1075,AU
1076,AU
1077,AU
1078,AU
1079,AU
1080,AU
1081,AU
1082,AU
1083,AU
1084,AU
1085,AU
1086,AU
1087,AU
1088,AU
1089,AU
1090,AU
1091,AU
1092,AU
1093,AU
1094,AU
1095,AU
1096,AU
1097,AU
1098,AU
1099,AU
1100,AU
1101,AU
1102,AU
1103,AU
1104,AU
1105,AU
1106,AU
1107,AU
1108,AU
1109,AU
1110,AU
1111,AU
1112,AU
1113,AU
1114,AU
1115,AU
1116,AU
1117,AU
1118,AU
1119,AU
1120,AU
1121,AU
1122,AU
1123,AU
1124,AU
1125,AU
1126,AU
1127,AU
1128,AU
1129,AU
1130,AU
1131,AU
1132,AU
1133,AU
1134,AU
1135,AU
1136,AU
1137,AU
1138,AU
1139,AU
1140,AU
1141,AU
1142,AU
1143,AU
1144,AU
1145,AU
1146,AU
1147,AU
1148,AU
1149,AU
1150,AU
1151,AU
1152,AU
1153,AU
1154,AU
1155,AU
1156,AU
1157,AU
1158,AU
1159,AU
1160,AU
1161,AU
1162,AU
1163,AU
1164,AU
1165,AU
1166,AU
1167,AU
1168,AU
1169,AU
1170,AU
1171,AU
1172,AU
1173,AU
1174,AU
1175,AU
1176,AU
1177,AU
1178,AU
1179,AU
1180,AU
1181,AU
1182,AU
1183,AU
1184,AU
1185,AU
1186,AU
1187,AU
1188,AU
1189,AU
1190,AU
1191,AU
1192,AU
1193,AU
1194,AU
1195,AU
1196,AU
1197,AU
1198,AU
1199,AU
1200,AU
1201,AU
1202,AU
1203,AU
1204,AU
1205,AU
1206,AU
1207,AU
1208,AU
1209,AU
1210,AU
1211,AU
1212,AU
1213,AU
1214,AU
1215,AU
1216,AU
1217,AU
1218,AU
1219,AU
1220,AU
1221,AU
1222,AU
1223,AU
1224,AU
1225,AU
1226,AU
1227,AU
1228,AU
1229,AU
1230,AU
1231,AU
1232,AU
1233,AU
1234,AU
1235,AU
1236,AU
1237,AU
1238,AU
1239,AU
1240,AU
1241,AU
1242,AU
1243,AU
1244,AU
1245,AU
1246,AU
1247,AU
1248,AU
1249,AU
1250,AU
1251,AU
1252,AU
1253,AU
1254,AU
1255,AU
1256,AU
1257,AU
1258,AU
1259,AU
1260,AU
1261,AU
1262,AU
1263,AU
1264,AU
1265,AU
1266,AU
1267,AU
1268,AU
1269,AU
1270,AU
1271,AU
1272,AU
1273,AU
1274,AU
1275,AU
1276,AU
1277,AU
1278,AU
1279,AU
1280,AU
1281,AU
1282,AU
1283,AU
1284,AU
1285,AU
1286,AU
1287,AU
1288,AU
1289,AU
1290,AU
1291,AU
1292,AU
1293,AU
1294,AU
1295,AU
1296,AU
1297,AU
1298,AU
1299,AU
1300,AU
1301,AU
1302,AU
1303,AU
1304,AU
1305,AU
1306,AU
1307,AU
1308,AU
1309,AU
1310,AU
1311,AU
1312,AU
