CNTR_CODE,CNTR_BN_CODE
UZ,16555
ME,16576
CN,16577
RS,16600
KZ,16603
BA,16637
RU,16639
RO,16643
FR,16685
IT,16790
BA,16816
IT,16858
BA,16922
RO,16968
US,17060
US,17065
RS,17100
UA,17120
KZ,17126
HR,17140
CH,17305
CH,17313
HR,17322
RS,17350
HU,17437
IT,17452
AT,17464
CH,17466
UA,17477
AT,17489
HU,17494
RO,17513
AT,17517
AT,17535
LI,17543
AT,17550
CH,17596
US,17607
DE,17626
DE,17658
CH,17664
UA,17678
DE,17693
SK,17698
RU,17710
UA,17717
SK,17722
UA,17781
AT,17844
KZ,17910
RU,17915
UA,17937
PL,17941
CZ,17951
LU,17985
BE,18039
DE,18052
CN,18055
BE,18064
CZ,18098
DE,18124
DE,18149
NL,18201
NL,18300
DE,18309
NL,18324
NL,18325
BY,18335
BY,18453
NL,18478
RU,18486
RU,18816
DE,18912
BY,18924
PL,18978
RU,19020
RU,19050
IE,19078
RU,19141
DK,19197
LT,19384
RU,19451
BY,19591
RU,19771
LV,19922
RU,20044
EE,20364
RU,20983
NO,24863
RU,25327
FI,26531
NO,27216
RU,27590
AQ,1
AQ,2
AQ,3
AQ,4
AQ,5
AQ,6
AQ,7
AQ,8
AQ,9
AQ,10
AQ,11
AQ,12
AQ,13
AQ,14
AQ,15
AQ,16
AQ,17
AQ,18
AQ,19
AQ,20
AQ,21
AQ,22
AQ,23
AQ,24
AQ,25
AQ,26
AQ,27
AQ,28
AQ,29
AQ,30
AQ,31
AQ,32
AQ,33
AQ,34
AQ,35
AQ,36
AQ,37
AQ,38
AQ,39
AQ,40
AQ,41
AQ,42
AQ,43
AQ,44
AQ,45
AQ,46
AQ,47
AQ,48
AQ,49
AQ,50
AQ,51
AQ,52
AQ,53
AQ,54
AQ,55
AQ,56
AQ,57
AQ,58
AQ,59
AQ,60
AQ,61
AQ,62
AQ,63
AQ,64
AQ,65
AQ,66
AQ,67
AQ,68
AQ,69
AQ,70
AQ,71
AQ,72
AQ,73
AQ,74
AQ,75
AQ,76
AQ,77
AQ,78
AQ,79
AQ,80
AQ,81
AQ,82
AQ,83
AQ,84
AQ,85
AQ,86
AQ,87
AQ,88
AQ,89
AQ,90
AQ,91
AQ,92
AQ,93
AQ,94
AQ,95
AQ,96
AQ,97
AQ,98
AQ,99
AQ,100
AQ,101
AQ,102
AQ,103
AQ,104
AQ,105
AQ,106
AQ,107
AQ,108
AQ,109
AQ,110
AQ,111
AQ,112
AQ,113
AQ,114
AQ,115
AQ,116
AQ,117
AQ,118
AQ,119
AQ,120
AQ,121
AQ,122
AQ,123
AQ,124
AQ,125
AQ,126
AQ,127
AQ,128
AQ,129
AQ,130
AQ,131
AQ,132
AQ,133
AQ,134
AQ,135
AQ,136
AQ,137
AQ,138
AQ,139
AQ,140
AQ,141
AQ,142
AQ,143
AQ,144
AQ,145
AQ,146
AQ,147
AQ,148
AQ,149
AQ,150
AQ,151
AQ,152
AQ,153
AQ,154
AQ,155
AQ,156
AQ,157
AQ,158
AQ,159
AQ,160
AQ,161
AQ,162
AQ,163
AQ,164
AQ,165
AQ,166
AQ,167
AQ,168
AQ,169
AQ,170
AQ,171
AQ,172
AQ,173
AQ,174
AQ,175
AQ,176
AQ,177
AQ,178
AQ,179
AQ,180
AQ,181
AQ,182
AQ,183
AQ,184
AQ,185
AQ,186
AQ,187
AQ,188
AQ,189
AQ,190
AQ,191
AQ,192
AQ,193
AQ,194
AQ,195
AQ,196
AQ,197
AQ,198
AQ,199
AQ,200
AQ,201
AQ,202
AQ,203
AQ,204
AQ,205
AQ,206
AQ,207
AQ,208
AQ,209
AQ,210
AQ,211
AQ,212
AQ,213
AQ,214
AQ,215
AQ,216
AQ,217
AQ,218
AQ,219
AQ,220
AQ,221
AQ,222
AQ,223
AQ,224
AQ,225
AQ,226
AQ,227
AQ,228
AQ,229
AQ,230
AQ,231
AQ,232
AQ,233
AQ,234
AQ,235
AQ,236
AQ,237
AQ,238
AQ,239
AQ,240
AQ,241
AQ,242
AQ,243
AQ,244
AQ,245
AQ,246
AQ,247
AQ,248
AQ,249
AQ,250
AQ,251
AQ,252
AQ,253
AQ,254
AQ,255
AQ,256
AQ,257
AQ,258
AQ,259
AQ,260
AQ,261
AQ,262
AQ,263
AQ,264
AQ,265
AQ,266
AQ,267
AQ,268
AQ,269
AQ,270
AQ,271
AQ,272
AQ,273
AQ,274
AQ,275
AQ,276
AQ,277
AQ,278
AQ,279
AQ,280
AQ,281
AQ,282
AQ,283
AQ,284
AQ,285
AQ,286
AQ,287
AQ,288
AQ,289
AQ,290
AQ,291
AQ,292
AQ,293
AQ,294
AQ,295
AQ,296
AQ,297
AQ,298
AQ,299
AQ,300
AQ,301
AQ,302
AQ,303
AQ,304
AQ,305
AQ,306
AQ,307
AQ,308
AQ,309
AQ,310
AQ,311
AQ,312
AQ,313
AQ,314
AQ,315
AQ,316
AQ,317
AQ,318
AQ,319
AQ,320
AQ,321
AQ,322
AQ,323
AQ,324
AQ,325
AQ,326
AQ,327
AQ,328
AQ,329
AQ,330
AQ,331
AQ,332
AQ,333
GS,334
GS,335
GS,336
GS,337
GS,338
GS,339
GS,340
GS,341
GS,342
GS,343
CL,344
GS,345
CL,346
CL,347
CL,348
CL,349
CL,350
CL,351
CL,352
CL,353
CL,354
CL,355
CL,356
CL,357
CL,358
CL,359
CL,360
CL,361
CL,362
CL,363
CL,364
CL,365
CL,366
CL,367
CL,368
CL,369
CL,370
CL,371
CL,372
CL,373
CL,374
CL,375
CL,376
CL,377
CL,378
CL,379
CL,380
CL,381
CL,382
CL,383
CL,384
CL,385
CL,386
CL,387
CL,388
CL,389
CL,390
CL,391
CL,392
CL,393
CL,394
CL,395
CL,396
CL,397
CL,398
CL,399
CL,400
CL,401
CL,402
CL,403
CL,404
CL,405
CL,406
CL,407
CL,408
CL,409
CL,410
CL,411
CL,412
CL,413
CL,414
CL,415
CL,416
CL,417
CL,418
CL,419
CL,420
CL,421
CL,422
CL,423
CL,424
CL,425
CL,426
CL,427
CL,428
CL,429
CL,430
CL,431
CL,432
CL,433
CL,434
CL,435
CL,436
CL,437
CL,438
CL,439
CL,440
CL,441
CL,442
CL,443
CL,444
CL,445
CL,446
CL,447
CL,448
CL,449
CL,450
CL,451
CL,452
CL,453
CL,454
CL,455
CL,456
CL,457
CL,458
CL,459
CL,460
CL,461
CL,462
CL,463
CL,464
CL,465
CL,466
CL,467
CL,468
CL,469
CL,470
CL,471
CL,472
CL,473
CL,474
CL,475
CL,476
CL,477
AR,478
CL,479
AR,480
CL,481
AR,482
AR,483
CL,484
AR,485
AR,486
AR,487
CL,488
AR,489
AR,490
CL,491
CL,492
CL,493
CL,494
CL,495
GS,496
CL,497
CL,498
CL,499
CL,500
CL,501
CL,502
CL,503
CL,504
CL,505
CL,506
CL,507
CL,508
CL,509
AR,510
CL,511
CL,512
CL,513
CL,514
AR,515
CL,516
CL,517
CL,518
CL,519
CL,520
CL,521
CL,522
AR,523
CL,524
CL,525
AR,526
CL,527
CL,528
CL,529
CL,530
GS,531
CL,532
CL,533
CL,534
CL,535
CL,536
CL,537
CL,538
CL,539
CL,540
CL,541
CL,542
CL,543
BV,544
CL,545
CL,546
CL,547
CL,548
CL,549
CL,550
CL,551
CL,552
CL,553
CL,554
CL,555
CL,556
CL,557
CL,558
CL,559
CL,560
CL,561
CL,562
CL,563
CL,564
CL,565
CL,566
CL,567
CL,568
CL,569
CL,570
CL,571
CL,572
CL,573
CL,574
CL,575
CL,576
CL,577
CL,578
CL,579
CL,580
CL,581
CL,582
CL,583
CL,584
CL,585
CL,586
CL,587
CL,588
CL,589
CL,590
CL,591
CL,592
CL,593
CL,594
CL,595
CL,596
CL,597
CL,598
CL,599
CL,600
CL,601
CL,602
CL,603
CL,604
CL,605
CL,606
CL,607
GS,608
CL,609
CL,610
CL,611
CL,612
CL,613
GS,614
CL,615
CL,616
CL,617
CL,618
CL,619
CL,620
CL,621
CL,622
CL,623
CL,624
CL,625
CL,626
CL,627
CL,628
CL,629
CL,630
CL,631
CL,632
CL,633
CL,634
CL,635
CL,636
GS,637
GS,638
CL,639
CL,640
CL,641
CL,642
CL,643
GS,644
CL,645
GS,646
GS,647
CL,648
CL,649
CL,650
GS,651
CL,652
CL,653
CL,654
CL,655
CL,656
CL,657
CL,658
CL,659
CL,660
CL,661
CL,662
CL,663
CL,664
CL,665
CL,666
CL,667
CL,668
CL,669
CL,670
CL,671
CL,672
CL,673
CL,674
CL,675
CL,676
CL,677
CL,678
CL,679
CL,680
CL,681
CL,682
CL,683
CL,684
CL,685
CL,686
CL,687
CL,688
CL,689
CL,690
CL,691
CL,692
CL,693
CL,694
CL,695
CL,696
CL,697
CL,698
CL,699
CL,700
CL,701
CL,702
CL,703
CL,704
CL,705
CL,706
CL,707
CL,708
CL,709
CL,710
CL,711
CL,712
CL,713
CL,714
CL,715
CL,716
CL,717
CL,718
CL,719
CL,720
CL,721
CL,722
CL,723
CL,724
CL,725
CL,726
CL,727
CL,728
CL,729
CL,730
CL,731
CL,732
CL,733
CL,734
CL,735
CL,736
CL,737
CL,738
CL,739
CL,740
CL,741
CL,742
CL,743
CL,744
CL,745
CL,746
CL,747
HM,748
CL,749
CL,750
CL,751
CL,752
CL,753
CL,754
CL,755
CL,756
CL,757
HM,758
CL,759
CL,760
CL,761
CL,762
CL,763
CL,764
CL,765
FK,766
CL,767
CL,768
CL,769
CL,770
CL,771
CL,772
CL,773
CL,774
CL,775
CL,776
CL,777
CL,778
CL,779
CL,780
CL,781
CL,782
CL,783
CL,784
AR,785
AR,786
CL,787
CL,788
CL,789
CL,790
CL,791
CL,792
CL,793
CL,794
CL,795
CL,796
CL,797
CL,798
CL,799
CL,800
CL,801
CL,802
CL,803
CL,804
CL,805
CL,806
CL,807
CL,808
CL,809
CL,810
CL,811
NZ,812
CL,813
CL,814
CL,815
CL,816
CL,817
CL,818
CL,819
CL,820
FK,821
FK,822
CL,823
CL,824
CL,825
CL,826
CL,827
CL,828
CL,829
CL,830
CL,831
CL,832
CL,833
CL,834
FK,835
CL,836
CL,837
CL,838
CL,839
CL,840
CL,841
CL,842
CL,843
CL,844
CL,845
CL,846
CL,847
CL,848
CL,849
CL,850
FK,851
CL,852
CL,853
FK,854
FK,855
FK,856
CL,857
CL,858
FK,859
FK,860
CL,861
CL,862
CL,863
CL,864
CL,865
FK,866
FK,867
FK,868
CL,869
CL,870
FK,871
FK,872
CL,873
FK,874
FK,875
FK,876
FK,877
FK,878
FK,879
CL,880
FK,881
CL,882
FK,883
FK,884
FK,885
CL,886
CL,887
FK,888
CL,889
FK,890
CL,891
CL,892
CL,893
CL,894
CL,895
CL,896
CL,897
FK,898
CL,899
CL,900
FK,901
FK,902
CL,903
CL,904
CL,905
FK,906
FK,907
CL,908
CL,909
FK,910
CL,911
FK,912
FK,913
CL,914
FK,915
CL,916
CL,917
FK,918
FK,919
CL,920
CL,921
CL,922
FK,923
FK,924
CL,925
FK,926
CL,927
CL,928
CL,929
CL,930
CL,931
FK,932
CL,933
FK,934
CL,935
FK,936
CL,937
FK,938
FK,939
CL,940
CL,941
CL,942
FK,943
CL,944
FK,945
FK,946
FK,947
FK,948
FK,949
CL,950
FK,951
CL,952
FK,953
FK,954
FK,955
FK,956
CL,957
CL,958
FK,959
CL,960
FK,961
FK,962
CL,963
FK,964
CL,965
FK,966
FK,967
FK,968
CL,969
CL,970
FK,971
FK,972
FK,973
FK,974
FK,975
FK,976
FK,977
FK,978
FK,979
CL,980
FK,981
CL,982
FK,983
CL,984
CL,985
CL,986
CL,987
CL,988
CL,989
CL,990
FK,991
FK,992
CL,993
CL,994
CL,995
CL,996
FK,997
CL,998
FK,999
CL,1000
CL,1001
CL,1002
FK,1003
CL,1004
FK,1005
FK,1006
CL,1007
CL,1008
CL,1009
FK,1010
AR,1011
CL,1012
FK,1013
CL,1014
FK,1015
FK,1016
CL,1017
FK,1018
FK,1019
CL,1020
FK,1021
CL,1022
CL,1023
CL,1024
FK,1025
CL,1026
CL,1027
FK,1028
CL,1029
CL,1030
CL,1031
CL,1032
CL,1033
CL,1034
CL,1035
CL,1036
FK,1037
CL,1038
FK,1039
FK,1040
CL,1041
CL,1042
FK,1043
CL,1044
CL,1045
CL,1046
CL,1047
CL,1048
CL,1049
FK,1050
CL,1051
CL,1052
CL,1053
CL,1054
FK,1055
FK,1056
CL,1057
CL,1058
CL,1059
CL,1060
FK,1061
CL,1062
FK,1063
CL,1064
CL,1065
CL,1066
CL,1067
CL,1068
FK,1069
CL,1070
CL,1071
CL,1072
CL,1073
FK,1074
CL,1075
CL,1076
FK,1077
FK,1078
CL,1079
FK,1080
CL,1081
FK,1082
CL,1083
FK,1084
FK,1085
CL,1086
FK,1087
FK,1088
FK,1089
CL,1090
FK,1091
CL,1092
FK,1093
CL,1094
FK,1095
FK,1096
FK,1097
FK,1098
CL,1099
FK,1100
CL,1101
CL,1102
FK,1103
FK,1104
CL,1105
CL,1106
CL,1107
FK,1108
CL,1109
FK,1110
CL,1111
CL,1112
FK,1113
CL,1114
CL,1115
FK,1116
FK,1117
CL,1118
CL,1119
CL,1120
CL,1121
CL,1122
CL,1123
CL,1124
FK,1125
FK,1126
FK,1127
FK,1128
CL,1129
CL,1130
CL,1131
FK,1132
CL,1133
CL,1134
CL,1135
CL,1136
CL,1137
CL,1138
FK,1139
CL,1140
CL,1141
NZ,1142
CL,1143
FK,1144
FK,1145
FK,1146
CL,1147
AR,1148
CL,1149
CL,1150
CL,1151
CL,1152
NZ,1153
CL,1154
CL,1155
CL,1156
CL,1157
CL,1158
CL,1159
CL,1160
CL,1161
CL,1162
CL,1163
CL,1164
CL,1165
CL,1166
CL,1167
CL,1168
CL,1169
CL,1170
CL,1171
CL,1172
CL,1173
CL,1174
CL,1175
NZ,1176
CL,1177
CL,1178
CL,1179
CL,1180
CL,1181
CL,1182
CL,1183
CL,1184
CL,1185
CL,1186
CL,1187
CL,1188
CL,1189
NZ,1190
CL,1191
CL,1192
NZ,1193
CL,1194
NZ,1195
CL,1196
NZ,1197
CL,1198
CL,1199
CL,1200
CL,1201
CL,1202
CL,1203
CL,1204
CL,1205
CL,1206
CL,1207
CL,1208
CL,1209
CL,1210
CL,1211
CL,1212
CL,1213
CL,1214
CL,1215
CL,1216
CL,1217
CL,1218
CL,1219
CL,1220
CL,1221
CL,1222
CL,1223
CL,1224
NZ,1225
TF,1226
CL,1227
NZ,1228
CL,1229
TF,1230
TF,1231
TF,1232
TF,1233
TF,1234
CL,1235
CL,1236
CL,1237
CL,1238
CL,1239
CL,1240
TF,1241
TF,1242
TF,1243
TF,1244
CL,1245
TF,1246
CL,1247
TF,1248
TF,1249
TF,1250
TF,1251
TF,1252
TF,1253
TF,1254
TF,1255
TF,1256
TF,1257
TF,1258
TF,1259
TF,1260
TF,1261
TF,1262
TF,1263
CL,1264
TF,1265
TF,1266
TF,1267
TF,1268
TF,1269
TF,1270
TF,1271
CL,1272
TF,1273
CL,1274
TF,1275
TF,1276
CL,1277
TF,1278
CL,1279
TF,1280
CL,1281
TF,1282
TF,1283
TF,1284
CL,1285
TF,1286
TF,1287
TF,1288
CL,1289
CL,1290
TF,1291
CL,1292
TF,1293
CL,1294
CL,1295
TF,1296
CL,1297
TF,1298
TF,1299
TF,1300
TF,1301
TF,1302
CL,1303
TF,1304
TF,1305
TF,1306
TF,1307
TF,1308
TF,1309
CL,1310
CL,1311
AR,1312
CL,1313
TF,1314
AR,1315
TF,1316
TF,1317
TF,1318
TF,1319
TF,1320
TF,1321
CL,1322
TF,1323
CL,1324
AR,1325
CL,1326
CL,1327
CL,1328
CL,1329
CL,1330
CL,1331
AR,1332
AR,1333
CL,1334
CL,1335
CL,1336
CL,1337
CL,1338
NZ,1339
CL,1340
CL,1341
CL,1342
CL,1343
CL,1344
CL,1345
CL,1346
CL,1347
CL,1348
CL,1349
CL,1350
CL,1351
CL,1352
CL,1353
CL,1354
CL,1355
CL,1356
CL,1357
CL,1358
NZ,1359
CL,1360
CL,1361
CL,1362
CL,1363
CL,1364
CL,1365
CL,1366
NZ,1367
NZ,1368
NZ,1369
NZ,1370
NZ,1371
CL,1372
CL,1373
CL,1374
CL,1375
NZ,1376
CL,1377
NZ,1378
NZ,1379
NZ,1380
CL,1381
NZ,1382
NZ,1383
NZ,1384
ZA,1385
CL,1386
NZ,1387
CL,1388
NZ,1389
NZ,1390
CL,1391
CL,1392
CL,1393
CL,1394
NZ,1395
CL,1396
CL,1397
CL,1398
CL,1399
ZA,1400
NZ,1401
NZ,1402
CL,1403
NZ,1404
TF,1405
TF,1406
TF,1407
CL,1408
CL,1409
NZ,1410
NZ,1411
CL,1412
CL,1413
TF,1414
CL,1415
NZ,1416
CL,1417
NZ,1418
NZ,1419
NZ,1420
TF,1421
TF,1422
CL,1423
CL,1424
CL,1425
CL,1426
CL,1427
CL,1428
CL,1429
CL,1430
CL,1431
CL,1432
CL,1433
CL,1434
NZ,1435
CL,1436
CL,1437
CL,1438
CL,1439
NZ,1440
CL,1441
NZ,1442
NZ,1443
CL,1444
CL,1445
CL,1446
CL,1447
CL,1448
NZ,1449
CL,1450
NZ,1451
CL,1452
CL,1453
CL,1454
CL,1455
CL,1456
CL,1457
CL,1458
CL,1459
CL,1460
CL,1461
CL,1462
CL,1463
CL,1464
CL,1465
CL,1466
NZ,1467
CL,1468
CL,1469
CL,1470
NZ,1471
CL,1472
NZ,1473
NZ,1474
CL,1475
CL,1476
CL,1477
CL,1478
CL,1479
CL,1480
CL,1481
CL,1482
CL,1483
CL,1484
CL,1485
CL,1486
CL,1487
CL,1488
CL,1489
CL,1490
CL,1491
CL,1492
CL,1493
CL,1494
CL,1495
CL,1496
CL,1497
CL,1498
CL,1499
CL,1500
CL,1501
CL,1502
CL,1503
CL,1504
CL,1505
CL,1506
NZ,1507
CL,1508
CL,1509
CL,1510
CL,1511
CL,1512
CL,1513
CL,1514
CL,1515
CL,1516
CL,1517
CL,1518
CL,1519
CL,1520
CL,1521
CL,1522
CL,1523
CL,1524
CL,1525
CL,1526
AR,1527
CL,1528
CL,1529
CL,1530
CL,1531
CL,1532
CL,1533
CL,1534
CL,1535
CL,1536
CL,1537
CL,1538
NZ,1539
CL,1540
CL,1541
AR,1542
AR,1543
AR,1544
CL,1545
CL,1546
CL,1547
AR,1548
CL,1549
AR,1550
CL,1551
AR,1552
AR,1553
CL,1554
CL,1555
CL,1556
CL,1557
CL,1558
AR,1559
CL,1560
CL,1561
CL,1562
CL,1563
CL,1564
CL,1565
CL,1566
CL,1567
CL,1568
CL,1569
CL,1570
CL,1571
CL,1572
CL,1573
CL,1574
CL,1575
CL,1576
CL,1577
CL,1578
AR,1579
CL,1580
CL,1581
CL,1582
CL,1583
CL,1584
CL,1585
CL,1586
CL,1587
CL,1588
CL,1589
CL,1590
CL,1591
CL,1592
CL,1593
AR,1594
CL,1595
CL,1596
CL,1597
CL,1598
CL,1599
CL,1600
CL,1601
CL,1602
CL,1603
CL,1604
CL,1605
CL,1606
CL,1607
CL,1608
CL,1609
CL,1610
CL,1611
CL,1612
CL,1613
CL,1614
CL,1615
CL,1616
CL,1617
CL,1618
CL,1619
CL,1620
CL,1621
CL,1622
CL,1623
CL,1624
CL,1625
CL,1626
CL,1627
CL,1628
CL,1629
CL,1630
CL,1631
CL,1632
CL,1633
CL,1634
CL,1635
CL,1636
CL,1637
CL,1638
CL,1639
CL,1640
CL,1641
CL,1642
CL,1643
CL,1644
CL,1645
CL,1646
CL,1647
CL,1648
CL,1649
NZ,1650
NZ,1651
CL,1652
CL,1653
CL,1654
CL,1655
CL,1656
CL,1657
CL,1658
CL,1659
CL,1660
CL,1661
CL,1662
CL,1663
CL,1664
CL,1665
CL,1666
NZ,1667
CL,1668
CL,1669
CL,1670
NZ,1671
NZ,1672
CL,1673
CL,1674
CL,1675
CL,1676
CL,1677
CL,1678
CL,1679
CL,1680
CL,1681
NZ,1682
CL,1683
CL,1684
CL,1685
NZ,1686
CL,1687
CL,1688
CL,1689
CL,1690
CL,1691
CL,1692
CL,1693
CL,1694
CL,1695
CL,1696
CL,1697
CL,1698
CL,1699
CL,1700
CL,1701
CL,1702
CL,1703
CL,1704
CL,1705
CL,1706
CL,1707
CL,1708
CL,1709
CL,1710
CL,1711
CL,1712
CL,1713
CL,1714
CL,1715
CL,1716
CL,1717
CL,1718
CL,1719
CL,1720
CL,1721
CL,1722
CL,1723
CL,1724
CL,1725
CL,1726
CL,1727
CL,1728
CL,1729
CL,1730
CL,1731
CL,1732
CL,1733
CL,1734
CL,1735
CL,1736
CL,1737
CL,1738
NZ,1739
CL,1740
CL,1741
CL,1742
CL,1743
CL,1744
CL,1745
CL,1746
CL,1747
NZ,1748
CL,1749
CL,1750
CL,1751
CL,1752
CL,1753
CL,1754
CL,1755
CL,1756
NZ,1757
CL,1758
CL,1759
CL,1760
CL,1761
CL,1762
CL,1763
CL,1764
CL,1765
NZ,1766
AU,1767
CL,1768
NZ,1769
CL,1770
AU,1771
CL,1772
AU,1773
AU,1774
CL,1775
CL,1776
CL,1777
CL,1778
AU,1779
AU,1780
CL,1781
CL,1782
AU,1783
CL,1784
AU,1785
AU,1786
CL,1787
CL,1788
CL,1789
CL,1790
AU,1791
AU,1792
AU,1793
AU,1794
AU,1795
CL,1796
CL,1797
AU,1798
AU,1799
CL,1800
CL,1801
CL,1802
CL,1803
CL,1804
CL,1805
CL,1806
CL,1807
CL,1808
CL,1809
CL,1810
CL,1811
CL,1812
AU,1813
CL,1814
CL,1815
CL,1816
CL,1817
CL,1818
CL,1819
CL,1820
CL,1821
CL,1822
CL,1823
AR,1824
AU,1825
CL,1826
CL,1827
CL,1828
CL,1829
CL,1830
CL,1831
CL,1832
CL,1833
CL,1834
CL,1835
CL,1836
CL,1837
CL,1838
CL,1839
CL,1840
CL,1841
CL,1842
NZ,1843
CL,1844
CL,1845
CL,1846
CL,1847
CL,1848
CL,1849
CL,1850
CL,1851
CL,1852
CL,1853
CL,1854
CL,1855
AU,1856
AU,1857
NZ,1858
NZ,1859
NZ,1860
NZ,1861
NZ,1862
NZ,1863
NZ,1864
NZ,1865
NZ,1866
NZ,1867
NZ,1868
NZ,1869
NZ,1870
NZ,1871
NZ,1872
NZ,1873
NZ,1874
NZ,1875
AU,1876
NZ,1877
NZ,1878
AU,1879
NZ,1880
AU,1881
AU,1882
NZ,1883
AU,1884
NZ,1885
AU,1886
AU,1887
AU,1888
AU,1889
AU,1890
NZ,1891
AU,1892
AU,1893
AU,1894
AU,1895
AR,1896
AU,1897
AU,1898
AR,1899
AR,1900
AU,1901
AU,1902
AU,1903
AU,1904
AU,1905
AU,1906
AR,1907
SH,1908
AU,1909
AU,1910
AU,1911
AU,1912
AR,1913
AU,1914
AU,1915
AU,1916
AR,1917
AU,1918
AU,1919
AR,1920
AR,1921
AU,1922
AU,1923
AU,1924
AR,1925
AR,1926
AR,1927
AU,1928
AU,1929
AU,1930
AU,1931
AU,1932
AU,1933
AU,1934
AU,1935
AU,1936
AU,1937
AR,1938
NZ,1939
AR,1940
AU,1941
AU,1942
AR,1943
AR,1944
AU,1945
AU,1946
AR,1947
AU,1948
AU,1949
AR,1950
AR,1951
AR,1952
AR,1953
AU,1954
AR,1955
AR,1956
AR,1957
AR,1958
AR,1959
AR,1960
AR,1961
AR,1962
AR,1963
AU,1964
AU,1965
AU,1966
TF,1967
AU,1968
AU,1969
AU,1970
AU,1971
AU,1972
AU,1973
AU,1974
AU,1975
AU,1976
AU,1977
AU,1978
AU,1979
AU,1980
CL,1981
AU,1982
AU,1983
NZ,1984
TF,1985
NZ,1986
AU,1987
NZ,1988
SH,1989
SH,1990
NZ,1991
SH,1992
NZ,1993
CL,1994
NZ,1995
NZ,1996
NZ,1997
NZ,1998
NZ,1999
NZ,2000
NZ,2001
NZ,2002
NZ,2003
NZ,2004
NZ,2005
NZ,2006
NZ,2007
NZ,2008
NZ,2009
NZ,2010
CL,2011
NZ,2012
NZ,2013
NZ,2014
NZ,2015
NZ,2016
AU,2017
NZ,2018
NZ,2019
