CNTR_CODE,CNTR_BN_CODE
ZA,2294
BR,2312
NA,2341
CL,2423
MZ,2438
PY,2460
BW,2476
ZW,2484
BO,2545
BR,2777
BO,2867
ZW,3061
ZM,3062
NA,3065
BO,3080
PE,3101
ZM,3111
AO,3212
MZ,3615
ZM,3616
ZM,3950
MZ,4174
MZ,4176
MW,4214
PE,4284
AO,4293
TZ,4357
BR,4461
ZM,4490
TZ,4503
ID,4546
TL,4600
TZ,4842
CD,4860
CD,5406
CD,5677
CD,5725
CG,5731
BR,5758
CD,6004
ID,6050
TZ,6119
RW,6143
CD,6515
TZ,6653
UG,6657
KE,6672
UG,6675
EC,6908
CO,6937
CO,7398
CO,7504
CG,7506
GQ,7509
CM,7521
CM,7540
CM,7544
SR,7578
CD,7708
CD,7713
BR,7718
CF,7738
SR,7743
SO,7770
MY,7791
KE,7799
SS,7801
MY,7821
ET,7848
SS,7858
XG,7859
SS,7860
MY,7910
MY,7918
SS,7932
SS,7933
VE,7954
GY,7973
CF,8003
GY,8089
TH,8313
CM,8520
CI,8530
SL,8683
GN,8695
VE,8698
SS,8733
CO,8741
GH,8920
ET,8922
CR,8951
SS,8966
GN,9098
SD,9140
GN,9153
BF,9229
SD,9233
ML,9305
SD,9369
BJ,9412
ET,9413
TD,9421
GW,9460
BF,9472
GH,9490
BF,9506
NI,9531
DJ,9667
NG,9737
CO,9798
BF,9822
SD,9957
NE,10065
ET,10087
ML,10094
GM,10135
GW,10144
GM,10145
ER,10152
TD,10217
NG,10218
GM,10280
TD,10305
NE,10309
SD,10442
HN,10455
TH,10458
GT,10461
VN,10477
LA,10478
ML,10485
ER,10500
NE,10513
HN,10515
ML,10524
GT,10603
MR,10697
MR,10843
BZ,10961
MX,10962
SD,10972
FR,10974
FR,10977
MX,11059
SA,11128
OM,11129
ML,11142
TD,11188
HT,11216
LA,11330
MM,11336
MM,11541
LY,11715
MM,11784
LY,11801
SD,11803
EG,11805
XF,11810
IN,11931
CN,11950
EG,11956
VN,12018
CN,12062
CN,12097
SA,12134
NE,12186
EG,12208
CN,12283
LY,12315
DZ,12320
IN,12375
SA,12608
PK,12627
PK,12631
SA,12882
DZ,12962
MR,12963
AE,12964
OM,13066
AE,13094
OM,13391
IN,13518
DZ,13625
IN,13796
EH,13801
DZ,13840
MA,13843
IN,13870
XD,13873
CN,13977
XD,13990
CN,13997
IN,14005
CN,14045
SA,14119
CN,14280
IR,14477
IQ,14566
IN,14586
DZ,14595
CN,14624
CN,14662
IN,14700
CN,14701
CN,14708
IL,14717
IN,14721
EG,14723
CN,14728
JO,14733
IL,14735
LY,14742
CN,14771
IQ,14791
JO,14792
CN,14796
IN,14798
PK,14803
JO,14812
CN,14820
IL,14826
US,14839
JO,14842
CN,14845
XH,14893
TN,14896
XH,14904
CN,14905
SY,14913
LB,14917
SY,14920
IQ,14921
CN,14922
SY,15278
DZ,15407
MA,15429
XH,15449
IR,15460
MA,15498
CN,15506
ES,15525
XH,15636
AF,15639
TR,15642
TN,15650
AF,15663
IQ,15677
CN,15681
IR,15699
CN,15732
TR,15742
UZ,15755
TM,15792
PT,15851
TM,15937
TJ,15978
KP,16003
IR,16141
CN,16185
AZ,16219
AM,16229
TR,16230
AM,16237
AM,16241
KG,16252
KG,16263
AL,16269
AM,16270
KG,16272
KG,16274
EL,16361
TR,16371
AM,16372
UZ,16375
UZ,16376
AL,16379
AM,16380
EL,16400
GE,16420
TR,16445
RU,16448
IT,16450
GE,16451
BG,16469
RS,16474
CN,16478
UZ,16485
KZ,16493
FR,16498
RU,16500
ES,16501
AL,16504
AD,16507
ME,16510
BA,16523
FR,16529
ME,16530
FR,16537
